reccurGroup	source	cov	spermCount	spermExp	mutRate	obsExp	ci_lower	ci_upper	rateLower	rateUpper
1	DDD	880790648	202	76.64419567966428	2.293394014328817e-7	2.6355550894455524	175.102580272211	231.85994774156012	2.2846163198587823	3.025146857964597
1-9	COSMIC	96521959942	6471	4993.584002530655	6.704173852135225e-8	1.2958628505539544	6314.284826131824	6630.621640783119	1.2644795447381805	1.3278281966264798
10-49	COSMIC	150740318	59	14.438022433406328	3.9140158905595517e-7	4.086432215501155	44.91353362869345	76.10570136257577	3.11078153783538	5.271199827649827
2-4	DDD	20408422	59	3.081058584928801	2.8909633483666695e-6	19.14926262311348	44.91353362869345	76.10570136257577	14.577305945557455	24.70115360183405
5+	DDD	1833959	22	0.3328462177084737	1.1995906124400818e-5	66.096590045283	13.78728287222961	33.30826438712524	41.42238108382329	100.07103165071437
50+	COSMIC	11699653	12	1.056197236160912	1.0256714451274751e-6	11.361514297857711	6.200575108722217	20.961585048176953	5.870660229390675	19.846279019218574
