Sample	age_at_sampling	burden	burden_tri	Prop_clonal2	burdenClonal	burdenTriClonal
PD43727b_lo0033	60.6	3.471334e-8	3.649963e-8	1	3.471334e-8	3.649963e-8
PD43727b_lo0038	60.6	3.475624e-8	3.719368e-8	1	3.475624e-8	3.719368e-8
PD43851y_P52_TST_A8	47	2.8237e-8	3.007738e-8	0.457171247	1.2909144501539e-8	1.375051332109286e-8
PD43851y_P52_TST_B8	47	1.570436e-8	1.647715e-8	1	1.570436e-8	1.647715e-8
PD43851y_P52_TST_C8	47	1.842601e-8	1.894066e-8	1	1.842601e-8	1.894066e-8
PD43851y_P52_TST_D8	47	2.410871e-8	2.583844e-8	0.729348361	1.758364812432431e-8	1.8845223864796842e-8
PD43851y_P52_TST_E7	47	2.500164e-8	2.733912e-8	1	2.500164e-8	2.733912e-8
PD43851y_P52_TST_H7	47	2.372687e-8	2.510544e-8	0.7632618	1.8109813504566e-8	1.9162023324192e-8
PD43851y_P53_TST_A5	47	2.716683e-8	2.917667e-8	0.50204006	1.36388369632098e-8	1.46478571574002e-8
PD43851y_P53_TST_C5	47	3.082649e-8	3.277343e-8	0.468384318	1.443864449498382e-8	1.5350560659070743e-8
PD43851y_P53_TST_D5	47	3.038579e-8	3.200472e-8	0.467153712	1.4194834590552478e-8	1.495112374952064e-8
PD43851y_P53_TST_H5	47	2.905009e-8	3.111337e-8	0.609030696	1.769239653156264e-8	1.8948997386005522e-8
