name	mle	cilow	cihigh	age	group
wmis	0.9999279578722576	0.9260656522733562	1.0796814658659275	Age 26-42	Younger (26-42)
wnon	1.078306985830641	0.8711357026853543	1.3347472180360571	Age 26-42	Younger (26-42)
wspl	1.243056018384056	0.940454343979241	1.6430231565552005	Age 26-42	Younger (26-42)
wtru	1.1340693567028404	0.9529090189455116	1.3496706193793884	Age 26-42	Younger (26-42)
wall	1.0081594626052457	0.9348684696973476	1.0871962580677683	Age 26-42	Younger (26-42)
wmis	1.0280240445759787	0.9641404106665256	1.096140587547563	Age 43-58	Middle (43-58)
wnon	1.073345690879849	0.9038486342902088	1.2746282158572504	Age 43-58	Middle (43-58)
wspl	1.096125672557426	0.85828607143241	1.3998729911045595	Age 43-58	Middle (43-58)
wtru	1.0806151712635874	0.935881930456259	1.2477312686181938	Age 43-58	Middle (43-58)
wall	1.0320034590395686	0.9690226611192374	1.0990776399795497	Age 43-58	Middle (43-58)
wmis	1.0843037546933143	1.046108369588679	1.1238937251828895	Age 59-74	Older (59-74)
wnon	1.1974587202398248	1.0879020202974778	1.3180482800154272	Age 59-74	Older (59-74)
wspl	1.2870516096037077	1.128747922017701	1.4675569393938757	Age 59-74	Older (59-74)
wtru	1.2269199704975582	1.1332840197745626	1.3282924560298448	Age 59-74	Older (59-74)
wall	1.094539019644846	1.0566732675222892	1.1337616861778226	Age 59-74	Older (59-74)
